model_id,model_label,family,architecture,params_b,quantization,precision_bits,hardware_profile,workload,score,is_correct,load_s,total_latency_s,tokens_per_sec,tokens_per_joule,active_tokens_per_joule,estimated_active_tokens_per_joule,active_device_energy_j,measured_active_device_energy_j,estimated_active_device_energy_j,cpu_energy_estimate_j,cpu_energy_measured_j,net_gpu_energy_j,total_energy_j,gpu_power_avg_w,gpu_mem_peak_mb,energy_sample_interval_s,energy_sample_frequency_hz,cost_per_request_usd,input_tokens,output_tokens,total_tokens,cpu_energy_source,gpu_energy_source,cpu_energy_measured,gpu_energy_measured
gemma-7b-fp16,Gemma 7B FP16,Gemma,Gemma,7.0,fp16,16,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.162328343,3.3048277773333816,42.368563630313,0.13905681778273793,0.16818793114058128,,770.0480316863977,770.0480316863977,,58.06390242452441,,770.0480316863977,930.9631841213214,269.06884126984124,21738.625,0.10000000000000002,10.0,0.0014237326979559999,46.0,129.33333333333334,175.33333333333334,tdp_estimate,nvml,False,True
gemma-7b-fp16,Gemma 7B FP16,Gemma,Gemma,7.0,fp16,16,l40s_gpu,code_generation,0.0,0.0,0.15354063099999998,3.8590867484998626,42.34548028625226,0.14110785150210714,0.16912110311975498,,903.2131481565691,903.2131481565691,,57.332789557282,,903.2131481565691,1080.6451706703037,268.25213333333335,21738.625,0.1,10.0,0.0016621683456168501,72.0,153.0,225.0,tdp_estimate,nvml,False,True
gemma-7b-fp16,Gemma 7B FP16,Gemma,Gemma,7.0,fp16,16,l40s_gpu,semantic_search,0.6666666666666666,0.6666666666666666,0.15807732366666669,0.6986410019999312,44.001538047740276,0.1294599949831687,0.16409121621108125,,132.9052206432301,132.9052206432301,,14.977808608748013,,132.9052206432301,169.63571149646043,243.92915277777777,21738.625,0.10000000000000002,10.0,0.00029975153349146667,143.66666666666666,21.666666666666668,165.33333333333334,tdp_estimate,nvml,False,True
gemma-7b-fp16,Gemma 7B FP16,Gemma,Gemma,7.0,fp16,16,l40s_gpu,summarization,1.0,1.0,0.1540315436666667,2.18610293166671,42.53800533787313,0.13676001214022804,0.1657445924505412,,503.3006430875107,503.3006430875107,,40.991710425480726,,503.3006430875107,612.3331109399295,262.71447142857147,21738.625,0.10000000000000002,10.0,0.0009416865659635999,89.33333333333333,83.33333333333333,172.66666666666666,tdp_estimate,nvml,False,True
gemma-7b-q4,Gemma 7B Q4,Gemma,Gemma,7.0,q4,4,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.15143231999999998,3.6095008633333237,115.6732903746851,0.2787200086208072,0.3561147176395365,,407.7283294109305,407.7283294109305,,61.351695031176895,,407.7283294109305,581.4123429206019,212.2215,10602.625,0.10000000000000002,10.0,0.0015332072435348667,46.0,122.66666666666667,168.66666666666666,tdp_estimate,nvml,False,True
gemma-7b-q4,Gemma 7B Q4,Gemma,Gemma,7.0,q4,4,l40s_gpu,code_generation,0.0,0.0,0.1510490345,1.7953605110000126,115.38409066659054,0.36213131153704353,0.4403572539522456,,408.81581833329744,408.81581833329744,,32.5826187585306,,408.81581833329744,497.2799159629888,273.09680555555553,10602.625,0.1,10.0,0.0007731204214231,72.0,180.0,252.0,tdp_estimate,nvml,False,True
gemma-7b-q4,Gemma 7B Q4,Gemma,Gemma,7.0,q4,4,l40s_gpu,semantic_search,0.6666666666666666,0.6666666666666666,0.18289202699999998,0.4174754403334191,118.61391328526605,0.24699367576335995,0.3276748599730725,,73.95633573864698,73.95633573864698,,11.134293362985291,,73.95633573864698,98.0946007005554,240.26245000000003,10603.958333333334,0.10000000000000002,10.0,0.00017902870642386666,143.66666666666666,24.0,167.66666666666666,tdp_estimate,nvml,False,True
gemma-7b-q4,Gemma 7B Q4,Gemma,Gemma,7.0,q4,4,l40s_gpu,summarization,1.0,1.0,0.15972789066666668,0.9236843753334748,116.16347464907584,0.34856559774388124,0.4256300854016355,,195.9697787456264,195.9697787456264,,17.111103058537193,,195.9697787456264,241.83681420263096,258.19096296296294,10602.625,0.10000000000000002,10.0,0.00039713553723786667,89.33333333333333,82.66666666666667,172.0,tdp_estimate,nvml,False,True
gemma-7b-q8,Gemma 7B Q8,Gemma,Gemma,7.0,q8,8,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.15758202133333332,1.9695859406666234,73.95841131611157,0.2308658445727061,0.27776775156694006,,462.7549882283599,462.7549882283599,,34.47450925836332,,462.7549882283599,558.5304084068005,270.0835713012478,13992.625,0.10000000000000002,10.0,0.0008487494731980668,46.0,128.33333333333334,174.33333333333334,tdp_estimate,nvml,False,True
gemma-7b-q8,Gemma 7B Q8,Gemma,Gemma,7.0,q8,8,l40s_gpu,code_generation,0.0,0.0,0.14923755900000002,2.304939091999927,73.81131396478949,0.2323942246483269,0.2832670069697287,,539.1762741924374,539.1762741924374,,45.72100094075592,,539.1762741924374,656.6330881893316,270.7425611111111,13992.625,0.1,10.0,0.0009933785860761,72.0,153.0,225.0,tdp_estimate,nvml,False,True
gemma-7b-q8,Gemma 7B Q8,Gemma,Gemma,7.0,q8,8,l40s_gpu,semantic_search,0.6666666666666666,0.6666666666666666,0.15013249366666667,0.4682847720000609,76.78965307235619,0.20435404073114202,0.2496413104394848,,90.62896469164635,90.62896469164635,,3.9605783360106557,,90.62896469164635,109.17466005592,259.3962666666667,13993.958333333334,0.10000000000000002,10.0,0.00020075434355833332,143.66666666666666,21.666666666666668,165.33333333333334,tdp_estimate,nvml,False,True
gemma-7b-q8,Gemma 7B Q8,Gemma,Gemma,7.0,q8,8,l40s_gpu,summarization,1.0,1.0,0.16536164966666667,1.321939321333275,74.10581095832083,0.22604737745130352,0.28027345763887396,,289.5757070688323,289.5757070688323,,26.71154013528138,,289.5757070688323,357.43637719326426,259.8636047008547,13992.625,0.10000000000000002,10.0,0.0005688611903873333,89.33333333333333,81.33333333333333,170.66666666666666,tdp_estimate,nvml,False,True
granite-code-20b-q4,Granite Code 20B Q4,Granite,Granite,20.0,q4,4,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.04253563766666666,1.869170337666598,58.26955172967868,0.1839716858933618,0.21767785198593806,,478.01671650367786,478.01671650367786,,33.681859222351044,,478.01671650367786,569.8762343400329,294.3514008029008,12335.958333333334,0.10000000000000002,10.0,0.0008074962247725,33.0,102.66666666666667,135.66666666666666,tdp_estimate,nvml,False,True
granite-code-20b-q4,Granite Code 20B Q4,Granite,Granite,20.0,q4,4,l40s_gpu,code_generation,0.5,0.5,0.041786442,0.49891178049995233,59.65218079483138,0.21530362209674553,0.25936937252612025,,97.8476703955607,97.8476703955607,,4.004581457415598,,97.8476703955607,117.39085672886074,248.57905000000002,12334.625,0.1,10.0,0.00021393241408635002,59.0,25.0,84.0,tdp_estimate,nvml,False,True
granite-code-20b-q4,Granite Code 20B Q4,Granite,Granite,20.0,q4,4,l40s_gpu,semantic_search,1.0,1.0,0.04197973766666666,0.1362619250000231,72.80706407399201,0.13585413143388883,0.16617434629406042,,24.124885110464607,24.124885110464607,,1.1321084115001077,,24.124885110464607,29.51215669343071,275.6028333333333,12336.625,0.10000000000000002,10.0,5.845250339023131e-05,140.33333333333334,4.0,144.33333333333334,tdp_estimate,nvml,False,True
granite-code-20b-q4,Granite Code 20B Q4,Granite,Granite,20.0,q4,4,l40s_gpu,summarization,0.8333333333333334,1.0,0.04730866266666667,1.6489800346666925,58.20252335480368,0.1763753638190615,0.214566437397651,,416.81250613619574,416.81250613619574,,30.433257659723704,,416.81250613619574,498.5712106902669,289.75709059829063,12334.625,0.10000000000000002,10.0,0.0007121794388678,82.66666666666667,89.66666666666667,172.33333333333334,tdp_estimate,nvml,False,True
granite-code-3b-q4,Granite Code 3B Q4,Granite,Granite,3.0,q4,4,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.04693529266666666,0.6108961023333753,246.38382205373077,0.8993996769657236,1.2644646411346356,,100.14328859587754,100.14328859587754,,21.053910533711576,,100.14328859587754,140.2190884373954,222.01100952380955,13418.625,0.10000000000000002,10.0,0.00026171521761623334,33.0,126.0,159.0,tdp_estimate,nvml,False,True
granite-code-3b-q4,Granite Code 3B Q4,Granite,Granite,3.0,q4,4,l40s_gpu,code_generation,0.5,0.5,0.0419716925,0.34860759050002343,248.5614615653945,1.540232408355581,2.2292846751050717,,31.035590018548724,31.035590018548724,,2.79577861149048,,31.035590018548724,44.69282817673184,138.22537499999999,13416.625,0.1,10.0,0.0001476702501588,59.0,68.5,127.5,tdp_estimate,nvml,False,True
granite-code-3b-q4,Granite Code 3B Q4,Granite,Granite,3.0,q4,4,l40s_gpu,semantic_search,0.6666666666666666,0.6666666666666666,0.042938682000000006,0.13181991299999626,261.00738054897937,0.6344914776222607,0.8421029730404378,,89.40931593806135,89.40931593806135,,1.083972070059558,,89.40931593806135,94.60959270571232,233.78633333333335,13418.625,0.10000000000000002,10.0,5.98480517185963e-05,140.33333333333334,17.666666666666668,158.0,tdp_estimate,nvml,False,True
granite-code-3b-q4,Granite Code 3B Q4,Granite,Granite,3.0,q4,4,l40s_gpu,summarization,1.0,1.0,0.043251782999999995,0.46804382633331443,247.72369488716365,1.0184877486266863,1.309630776745854,,72.03635143303823,72.03635143303823,,5.700236029251022,,72.03635143303823,92.31504963759039,213.25036904761905,13416.625,0.10000000000000002,10.0,0.00019982225414853335,82.66666666666667,95.66666666666667,178.33333333333334,tdp_estimate,nvml,False,True
granite-code-8b-q4,Granite Code 8B Q4,Granite,Granite,8.0,q4,4,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.04318142366666666,1.1567792153333964,132.42378428752133,0.441816132947789,0.5398052228941445,,259.5339927537412,259.5339927537412,,21.819717497587806,,259.5339927537412,317.36322296910066,267.6938333333333,10325.958333333334,0.10000000000000002,10.0,0.0004980377425372667,33.0,140.0,173.0,tdp_estimate,nvml,False,True
granite-code-8b-q4,Granite Code 8B Q4,Granite,Granite,8.0,q4,4,l40s_gpu,code_generation,0.5,0.5,0.0425012645,0.6157187190000286,133.4836897303221,0.479213307366684,0.5716130104180479,,125.66797535836892,125.66797535836892,,4.869702156627905,,125.66797535836892,149.71228002231123,261.1460714285714,10324.625,0.1,10.0,0.00026423471629274996,59.0,71.5,130.5,tdp_estimate,nvml,False,True
granite-code-8b-q4,Granite Code 8B Q4,Granite,Granite,8.0,q4,4,l40s_gpu,semantic_search,1.0,1.0,0.052485991333333336,0.1092878400000548,153.00630251136272,0.1612222229413068,0.2130281849273705,,23.52189060168722,23.52189060168722,,4.1201393867225535,,23.52189060168722,31.055458172032598,261.64483333333334,10326.625,0.10000000000000002,10.0,4.725878540862923e-05,140.33333333333334,5.0,145.33333333333334,tdp_estimate,nvml,False,True
granite-code-8b-q4,Granite Code 8B Q4,Granite,Granite,8.0,q4,4,l40s_gpu,summarization,1.0,1.0,0.055794595333333336,1.0162069066667148,132.35210746436476,0.42912651190616247,0.5442010324790538,,220.20047732002422,220.20047732002422,,26.246308062251547,,220.20047732002422,278.0811625603166,259.59862279202275,10324.625,0.10000000000000002,10.0,0.00043749030660016666,82.66666666666667,120.0,202.66666666666666,tdp_estimate,nvml,False,True
mistral-7b-q4,Mistral 7B Q4,Mistral,Mistral,7.0,q4,4,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.022582053,0.9028678680000061,144.44143571278937,0.45861856181365906,0.5294912973456539,,230.5358955411663,230.5358955411663,,7.2120090527774705,,230.5358955411663,265.85656173013894,296.1949134199134,9534.625,0.10000000000000002,10.0,0.00038966946919753335,30.0,121.33333333333333,151.33333333333334,tdp_estimate,nvml,False,True
mistral-7b-q4,Mistral 7B Q4,Mistral,Mistral,7.0,q4,4,l40s_gpu,code_generation,0.5,0.5,0.0228756555,1.2734697360000382,144.04063478108168,0.44366060227237497,0.5084122767870767,,340.13679428962473,340.13679428962473,,10.004607270175084,,340.13679428962473,389.7830631796187,303.2358324175824,9532.625,0.1,10.0,0.0005502934308673,59.0,173.0,232.0,tdp_estimate,nvml,False,True
mistral-7b-q4,Mistral 7B Q4,Mistral,Mistral,7.0,q4,4,l40s_gpu,semantic_search,1.0,1.0,0.022695549333333332,0.10340054133333366,163.3374875745873,0.1870980511117266,0.2489983666683893,,212.6976311851505,212.6976311851505,,2.7860799760807278,,212.6976311851505,218.71526650468,304.7196666666667,9534.625,0.10000000000000002,10.0,5.4206487353016595e-05,141.66666666666666,9.0,150.66666666666666,tdp_estimate,nvml,False,True
mistral-7b-q4,Mistral 7B Q4,Mistral,Mistral,7.0,q4,4,l40s_gpu,summarization,1.0,1.0,0.022637734333333336,0.820348640666604,144.45305693171426,0.45011198162631266,0.552811385784851,,200.2157273232665,200.2157273232665,,20.69047692197542,,200.2157273232665,246.44801258512288,305.07027976190477,9534.625,0.10000000000000002,10.0,0.0003543287791014334,81.33333333333333,109.33333333333333,190.66666666666666,tdp_estimate,nvml,False,True
mxbai-embed-large,mxbai Embed Large,mixedbread,Embedding,0.0,q4,4,l40s_gpu,embedding_search,1.0,1.0,0.0,0.34886017700000593,76.76732708658675,0.9592919836227546,1.2346920522921723,,78.66042831190002,78.66042831190002,,4.623488479367537,,78.66042831190002,94.16727110127664,92.158,1732.625,0.10000000000000002,10.0,0.00015043714452725256,90.33333333333333,0.0,90.33333333333333,tdp_estimate,nvml,False,True
nomic-embed-text,Nomic Embed Text,Nomic,Embedding,0.0,q4,4,l40s_gpu,embedding_search,1.0,1.0,0.0,2.301658635000043,2.4233361874028994,0.3500950859009568,0.655486226921973,,169.5901319655355,169.5901319655355,,49.54050598895998,,169.5901319655355,290.77596929658205,100.94191166150672,5491.958333333333,0.10000000000000002,10.0,0.0009738741744370334,85.0,0.0,85.0,tdp_estimate,nvml,False,True
phi3-14b-fp16,Phi-3 14B FP16,Phi3,Phi3,14.0,fp16,16,l40s_gpu,chat_completion,0.8888888888888888,0.6666666666666666,0.022199372999999998,5.360270252333294,26.61801652977614,0.09165068874917322,0.11029259397108783,,1269.357316456036,1269.357316456036,,91.40402145654413,,1269.357316456036,1527.5747303603914,270.15483333333333,28440.625,0.10000000000000002,10.0,0.002310020281101333,35.0,140.0,175.0,tdp_estimate,nvml,False,True
